age_group,date,onsets,reported
0-14,2020-12-30,236.0,364.0
0-14,2020-12-31,246.0,305.0
15-59,2020-02-19,1.0,0.0
15-59,2020-02-22,2.0,0.0
15-59,2020-02-23,1.0,0.0
15-59,2020-02-25,1.0,0.0
15-59,2020-02-26,1.0,0.0
15-59,2020-02-27,1.0,3.0
15-59,2020-02-28,2.0,2.0
15-59,2020-02-29,2.0,1.0
15-59,2020-03-01,4.0,0.0
15-59,2020-03-02,6.0,0.0
15-59,2020-03-03,4.0,0.0
15-59,2020-03-04,6.0,2.0
15-59,2020-03-05,7.0,2.0
15-59,2020-03-06,9.0,0.0
15-59,2020-03-07,17.0,1.0
15-59,2020-03-08,15.0,2.0
15-59,2020-03-09,46.0,2.0
15-59,2020-03-10,43.0,6.0
15-59,2020-03-11,50.0,23.0
15-59,2020-03-12,50.0,21.0
15-59,2020-03-13,68.0,51.0
15-59,2020-03-14,78.0,44.0
15-59,2020-03-15,80.0,32.0
15-59,2020-03-16,111.0,60.0
15-59,2020-03-17,92.0,81.0
15-59,2020-03-18,95.0,83.0
15-59,2020-03-19,85.0,91.0
15-59,2020-03-20,138.0,85.0
15-59,2020-03-21,99.0,51.0
15-59,2020-03-22,104.0,34.0
15-59,2020-03-23,169.0,98.0
15-59,2020-03-24,149.0,128.0
15-59,2020-03-25,158.0,120.0
15-59,2020-03-26,201.0,128.0
15-59,2020-03-27,235.0,158.0
15-59,2020-03-28,210.0,125.0
15-59,2020-03-29,213.0,119.0
15-59,2020-03-30,302.0,254.0
15-59,2020-03-31,251.0,225.0
15-59,2020-04-01,358.0,258.0
15-59,2020-04-02,344.0,243.0
15-59,2020-04-03,349.0,277.0
15-59,2020-04-04,371.0,167.0
15-59,2020-04-05,342.0,166.0
15-59,2020-04-06,468.0,423.0
15-59,2020-04-07,408.0,354.0
15-59,2020-04-08,502.0,419.0
15-59,2020-04-09,496.0,326.0
15-59,2020-04-10,747.0,389.0
15-59,2020-04-11,593.0,333.0
15-59,2020-04-12,590.0,322.0
15-59,2020-04-13,756.0,709.0
15-59,2020-04-14,700.0,676.0
15-59,2020-04-15,808.0,696.0
15-59,2020-04-16,829.0,720.0
15-59,2020-04-17,943.0,826.0
15-59,2020-04-18,983.0,524.0
15-59,2020-04-19,886.0,493.0
15-59,2020-04-20,1433.0,1111.0
15-59,2020-04-21,989.0,1098.0
15-59,2020-04-22,983.0,1016.0
15-59,2020-04-23,1013.0,1041.0
15-59,2020-04-24,1224.0,1250.0
15-59,2020-04-25,1237.0,720.0
15-59,2020-04-26,1116.0,661.0
15-59,2020-04-27,1360.0,1380.0
15-59,2020-04-28,1226.0,1406.0
15-59,2020-04-29,1079.0,1328.0
15-59,2020-04-30,1529.0,1321.0
15-59,2020-05-01,2060.0,999.0
15-59,2020-05-02,1518.0,985.0
15-59,2020-05-03,1421.0,902.0
15-59,2020-05-04,1864.0,1996.0
15-59,2020-05-05,1755.0,1570.0
15-59,2020-05-06,1636.0,1765.0
15-59,2020-05-07,1823.0,1819.0
15-59,2020-05-08,2118.0,1831.0
15-59,2020-05-09,1893.0,1106.0
15-59,2020-05-10,2430.0,952.0
15-59,2020-05-11,2369.0,2279.0
15-59,2020-05-12,2149.0,2291.0
15-59,2020-05-13,2056.0,2421.0
15-59,2020-05-14,2117.0,2377.0
15-59,2020-05-15,3128.0,2692.0
15-59,2020-05-16,2361.0,1575.0
15-59,2020-05-17,2271.0,1134.0
15-59,2020-05-18,3352.0,3134.0
15-59,2020-05-19,2553.0,2801.0
15-59,2020-05-20,3421.0,3041.0
15-59,2020-05-21,2382.0,3083.0
15-59,2020-05-22,3043.0,3135.0
15-59,2020-05-23,2856.0,1718.0
15-59,2020-05-24,2623.0,1385.0
15-59,2020-05-25,4011.0,3681.0
15-59,2020-05-26,2906.0,3365.0
15-59,2020-05-27,2758.0,3530.0
15-59,2020-05-28,3143.0,3281.0
15-59,2020-05-29,3260.0,3387.0
15-59,2020-05-30,3092.0,2021.0
15-59,2020-05-31,2839.0,1478.0
15-59,2020-06-01,5124.0,4222.0
15-59,2020-06-02,3285.0,3736.0
15-59,2020-06-03,3249.0,3894.0
15-59,2020-06-04,3346.0,3807.0
15-59,2020-06-05,4280.0,3975.0
15-59,2020-06-06,3877.0,2239.0
15-59,2020-06-07,3268.0,1678.0
15-59,2020-06-08,4488.0,4938.0
15-59,2020-06-09,3618.0,4626.0
15-59,2020-06-10,4815.0,4551.0
15-59,2020-06-11,3546.0,4211.0
15-59,2020-06-12,4160.0,4467.0
15-59,2020-06-13,3697.0,2310.0
15-59,2020-06-14,3519.0,1784.0
15-59,2020-06-15,5492.0,5277.0
15-59,2020-06-16,4106.0,5158.0
15-59,2020-06-17,3559.0,4858.0
15-59,2020-06-18,4291.0,4710.0
15-59,2020-06-19,4435.0,4820.0
15-59,2020-06-20,5670.0,2691.0
15-59,2020-06-21,3704.0,1758.0
15-59,2020-06-22,4741.0,5548.0
15-59,2020-06-23,4083.0,5145.0
15-59,2020-06-24,3986.0,4974.0
15-59,2020-06-25,4815.0,4947.0
15-59,2020-06-26,5266.0,5177.0
15-59,2020-06-27,4130.0,2740.0
15-59,2020-06-28,4801.0,2087.0
15-59,2020-06-29,5201.0,5925.0
15-59,2020-06-30,5094.0,5721.0
15-59,2020-07-01,6411.0,6054.0
15-59,2020-07-02,4693.0,5564.0
15-59,2020-07-03,5152.0,5561.0
15-59,2020-07-04,4484.0,2646.0
15-59,2020-07-05,4844.0,2162.0
15-59,2020-07-06,5440.0,6126.0
15-59,2020-07-07,4912.0,6134.0
15-59,2020-07-08,4507.0,5727.0
15-59,2020-07-09,4609.0,5493.0
15-59,2020-07-10,6994.0,5490.0
15-59,2020-07-11,4519.0,2699.0
15-59,2020-07-12,4720.0,2195.0
15-59,2020-07-13,5723.0,6661.0
15-59,2020-07-14,4784.0,6402.0
15-59,2020-07-15,5945.0,6652.0
15-59,2020-07-16,4705.0,6221.0
15-59,2020-07-17,5323.0,5932.0
15-59,2020-07-18,5331.0,3070.0
15-59,2020-07-19,4724.0,2207.0
15-59,2020-07-20,7342.0,6936.0
15-59,2020-07-21,4431.0,6558.0
15-59,2020-07-22,4345.0,6288.0
15-59,2020-07-23,4286.0,6163.0
15-59,2020-07-24,4720.0,6002.0
15-59,2020-07-25,5491.0,2827.0
15-59,2020-07-26,4207.0,1947.0
15-59,2020-07-27,5385.0,6356.0
15-59,2020-07-28,4430.0,6113.0
15-59,2020-07-29,3857.0,5746.0
15-59,2020-07-30,3947.0,5588.0
15-59,2020-07-31,4099.0,4936.0
15-59,2020-08-01,6016.0,2642.0
15-59,2020-08-02,3966.0,1650.0
15-59,2020-08-03,4780.0,5644.0
15-59,2020-08-04,3662.0,5544.0
15-59,2020-08-05,4195.0,5331.0
15-59,2020-08-06,3546.0,5058.0
15-59,2020-08-07,4049.0,4931.0
15-59,2020-08-08,4191.0,2480.0
15-59,2020-08-09,3451.0,1568.0
15-59,2020-08-10,5743.0,5490.0
15-59,2020-08-11,3698.0,5266.0
15-59,2020-08-12,3637.0,4963.0
15-59,2020-08-13,3603.0,4895.0
15-59,2020-08-14,4152.0,4586.0
15-59,2020-08-15,4477.0,2260.0
15-59,2020-08-16,3556.0,1549.0
15-59,2020-08-17,4396.0,5269.0
15-59,2020-08-18,4413.0,5164.0
15-59,2020-08-19,3543.0,4805.0
15-59,2020-08-20,5517.0,4477.0
15-59,2020-08-21,3970.0,4784.0
15-59,2020-08-22,3824.0,2178.0
15-59,2020-08-23,3570.0,1548.0
15-59,2020-08-24,4618.0,5402.0
15-59,2020-08-25,4407.0,5179.0
15-59,2020-08-26,3741.0,5438.0
15-59,2020-08-27,3796.0,5026.0
15-59,2020-08-28,4700.0,4830.0
15-59,2020-08-29,3479.0,2222.0
15-59,2020-08-30,3775.0,1475.0
15-59,2020-08-31,4380.0,5515.0
15-59,2020-09-01,5324.0,5483.0
15-59,2020-09-02,3692.0,5423.0
15-59,2020-09-03,3557.0,4795.0
15-59,2020-09-04,3714.0,4630.0
15-59,2020-09-05,3891.0,1961.0
15-59,2020-09-06,3234.0,1384.0
15-59,2020-09-07,3958.0,5020.0
15-59,2020-09-08,3539.0,5150.0
15-59,2020-09-09,3285.0,4692.0
15-59,2020-09-10,4092.0,4406.0
15-59,2020-09-11,3228.0,4252.0
15-59,2020-09-12,2741.0,1943.0
15-59,2020-09-13,2619.0,1256.0
15-59,2020-09-14,3704.0,4873.0
15-59,2020-09-15,3859.0,3231.0
15-59,2020-09-16,2771.0,1578.0
15-59,2020-09-17,3483.0,5021.0
15-59,2020-09-18,3911.0,4360.0
15-59,2020-09-19,3662.0,2028.0
15-59,2020-09-20,4490.0,1205.0
15-59,2020-09-21,3907.0,5065.0
15-59,2020-09-22,3278.0,4897.0
15-59,2020-09-23,3156.0,4522.0
15-59,2020-09-24,3194.0,4228.0
15-59,2020-09-25,4060.0,4107.0
15-59,2020-09-26,3257.0,1938.0
15-59,2020-09-27,3154.0,1225.0
15-59,2020-09-28,4013.0,5027.0
15-59,2020-09-29,3385.0,4753.0
15-59,2020-09-30,3388.0,4387.0
15-59,2020-10-01,4686.0,4121.0
15-59,2020-10-02,3644.0,3858.0
15-59,2020-10-03,3382.0,1758.0
15-59,2020-10-04,3243.0,1201.0
15-59,2020-10-05,4760.0,4648.0
15-59,2020-10-06,3706.0,4721.0
15-59,2020-10-07,3820.0,4574.0
15-59,2020-10-08,3855.0,4327.0
15-59,2020-10-09,4200.0,4505.0
15-59,2020-10-10,5778.0,2214.0
15-59,2020-10-11,3783.0,1552.0
15-59,2020-10-12,5159.0,5500.0
15-59,2020-10-13,4260.0,5670.0
15-59,2020-10-14,4003.0,5115.0
15-59,2020-10-15,5054.0,5106.0
15-59,2020-10-16,4674.0,5213.0
15-59,2020-10-17,4305.0,2474.0
15-59,2020-10-18,4658.0,1597.0
15-59,2020-10-19,5919.0,6524.0
15-59,2020-10-20,6318.0,6705.0
15-59,2020-10-21,4220.0,5941.0
15-59,2020-10-22,4476.0,5720.0
15-59,2020-10-23,4629.0,5725.0
15-59,2020-10-24,4091.0,2469.0
15-59,2020-10-25,4711.0,1622.0
15-59,2020-10-26,5411.0,6697.0
15-59,2020-10-27,4398.0,6383.0
15-59,2020-10-28,4495.0,5670.0
15-59,2020-10-29,3951.0,5442.0
15-59,2020-10-30,4778.0,4954.0
15-59,2020-10-31,3750.0,2166.0
15-59,2020-11-01,6037.0,1446.0
